"","bids_name","scanner","parent_site","scanner_type","subj","year","cnr","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"1","sub-01_ses-Y1CMH_run-1_T1w","CMH","CM","GE","sub-01","ses-Y1",2.9148559192674,2.87214663028506,9.94264970246548,10.2550199838612,17.950263618833,17.4333731389919,31.8230626144079,30.9985623821224,43.7392513929674
"2","sub-01_ses-Y1MRC_run-1_T1w","MRC","MR","GE","sub-01","ses-Y1",2.44527531757177,3.12379883563551,7.79233575035426,7.91461591984791,12.8277131735539,13.7041331589772,29.4007724115079,28.3174289794609,41.8473813678976
"3","sub-01_ses-Y1MRC_run-2_T1w","MRC","MR","GE","sub-01","ses-Y1",2.40468293203102,2.97440233582269,7.52336452402767,7.78263734956816,12.8501451888541,13.8184675202558,29.0229184429663,28.051254853452,41.3123785971338
"4","sub-01_ses-Y1MRC_run-3_T1w","MRC","MR","GE","sub-01","ses-Y1",2.34120618968539,3.05314939640334,7.49808430602336,7.542785695033,12.0771233826723,13.527256824893,29.0772590749051,28.0087091235249,41.4216114707766
"5","sub-01_ses-Y1ZHH_run-1_T1w","ZHH","ZH","GE","sub-01","ses-Y1",2.62039024008515,3.66147593271349,9.27581823589084,9.02253206181192,14.1303020168314,32.3886866770884,47.8882563575563,49.0509523002853,66.8759138662113
"6","sub-01_ses-Y2CMH_run-1_T1w","CMH","CM","GE","sub-01","ses-Y2",2.77673230066241,2.31800404584656,10.1179390201786,9.60131353837096,16.3679975490877,14.5346192986876,30.8240787663676,29.1564411239636,42.1106253068356
"7","sub-01_ses-Y2MRC_run-1_T1w","MRC","MR","GE","sub-01","ses-Y2",2.58323283254382,3.1351524925742,8.5088624635541,8.46057976132778,13.737724327855,13.8713343236704,29.5632998437043,28.4037810093336,41.7767088606262
"8","sub-01_ses-Y2MRC_run-2_T1w","MRC","MR","GE","sub-01","ses-Y2",2.47314628555087,2.77858031453263,7.89560215602997,7.87424979239741,12.9485669066296,13.9756026519218,29.6679668049653,28.6240909347849,42.2287033474675
"9","sub-01_ses-Y2MRC_run-3_T1w","MRC","MR","GE","sub-01","ses-Y2",2.44532364138362,2.9267180501519,7.93320690141806,7.86808945125494,12.7443434021948,13.8368865375308,29.6078326250657,28.4994634050738,42.0536710526249
"10","sub-01_ses-Y2ZHH_run-1_T1w","ZHH","ZH","GE","sub-01","ses-Y2",2.89835584965126,2.79190814392973,10.0601885614897,9.46997600712872,15.5578313159668,25.6558934975078,42.4368508328005,42.4629950779243,59.2962409034646
