"","bids_name","scanner","parent_site","scanner_type","subj","year","cnr","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"1","sub-01_ses-Y1CMH_run-01_T2w","CMH","CM","GE","sub-01","ses-Y1",1.38354220993711,5.89461170518452,2.54137297318888,6.00506592448985,9.57921309509616,51.8062154819217,70.8391519026924,51.5375958005043,31.9674200168988
"2","sub-01_ses-Y1ZHH_run-01_T2w","ZHH","ZH","GE","sub-01","ses-Y1",0.990740971605017,7.6823870671199,2.41394167488256,7.01259997450488,10.9414711815122,36.9995332291719,42.4048164577648,34.7340499541265,24.7978001754428
"3","sub-01_ses-Y2CMH_run-01_T2w","CMH","CM","GE","sub-01","ses-Y2",1.37276852231848,6.11628667400572,2.54988126125706,6.20894907938901,9.96067930290424,52.1687215377648,71.7765321691244,52.2345646778964,32.7584403268
"4","sub-01_ses-Y2MRC_run-01_T2w","MRC","MR","GE","sub-01","ses-Y2",1.34568133294301,2.41878936838832,4.00787090590759,3.15430782609655,3.03626320399372,93.3662898338911,37.8802793595041,51.0305132172653,21.8449704584008
"5","sub-01_ses-Y2ZHH_run-01_T2w","ZHH","ZH","GE","sub-01","ses-Y2",1.04414389086269,8.13208148499949,2.4688515755053,7.53673690332182,12.0092776494607,61.7876031211539,72.8449226022775,58.8036869886095,41.7785352423971
"6","sub-02_ses-Y3MRP_run-01_T2w","MRP","MR","prisma","sub-02","ses-Y3",1.37861613932231,3.35598157347566,3.34479314861146,3.12420839310788,2.67185045723654,171.599757814929,49.9543216478002,82.3291178102797,25.4332739681102
"7","sub-03_ses-Y2CMH_run-01_T2w","CMH","CM","GE","sub-03","ses-Y2",2.37996080490047,3.048252119725,10.9418332444609,8.44986570509543,11.3595117511004,89.1230883946338,47.7353162409791,57.2357624853673,34.8488828204889
"8","sub-03_ses-Y3MRP_run-01_T2w","MRP","MR","prisma","sub-03","ses-Y3",1.99810042840281,1.94651577024174,4.32669802495806,3.34225793019432,3.75355999538317,103.264817414005,49.6046800332755,58.7786980449138,23.4665966874611
"9","sub-03_ses-Y3ZHP_run-01_T2w","ZHP","ZH","prisma","sub-03","ses-Y3",1.85787854285277,1.88030775260781,4.17947765954287,3.23809265901442,3.65449256489259,73.8448246843505,36.6112608898195,42.7649362697327,17.838723235028
"10","sub-04_ses-Y1CMH_run-01_T2w","CMH","CM","GE","sub-04","ses-Y1",0.287622195105635,5.68786340571968,3.08614826968353,6.32431356516628,10.1989290200956,62.9144632229945,28.7703123012425,39.2220204525957,25.9812858335501
"11","sub-04_ses-Y2CMH_run-01_T2w","CMH","CM","GE","sub-04","ses-Y2",0.97187374646833,5.03359797125157,2.33215611559702,5.70778024048833,9.75758663461641,85.5111876330133,25.6861346324747,49.4254190629184,37.0789349232672
"12","sub-04_ses-Y2MRC_run-01_T2w","MRC","MR","GE","sub-04","ses-Y2",0.857314919187499,2.2142603771034,2.2953055693526,2.53891740256105,3.10718626122716,95.3435596831922,34.9225260256859,50.3035061454535,20.6444327274824
"13","sub-04_ses-Y3MRP_run-01_T2w","MRP","MR","prisma","sub-04","ses-Y3",1.63227942280227,2.71370444351641,3.91566560392016,3.4795365402728,3.80923957338182,124.669129687147,45.6723133180134,64.7784950082211,23.9940420195032
"14","sub-04_ses-Y3ZHP_run-01_T2w","ZHP","ZH","prisma","sub-04","ses-Y3",1.70780043892046,2.41306850366418,3.99169139098514,3.43331816838081,3.8951946104931,116.567123751767,45.1209269181336,61.6443789135278,23.2450860706825
