"","bids_name","scanner","parent_site","scanner_type","subj","year","tsnr","snr","dvars_nstd","fd_mean","fd_perc"
"1","sub-01_ses-Y1CMH_task-rest_run-1_bold","CMH","CM","GE","sub-01","ses-Y1",93.779899597168,4.43366140289489,12.8477429251196,0.0797645458898034,0
"2","sub-01_ses-Y1MRC_task-rest_run-1_bold","MRC","MR","GE","sub-01","ses-Y1",47.0447616577148,2.08765851282664,29.7783055323223,0.097108611722624,0
"3","sub-01_ses-Y1ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-01","ses-Y1",73.6931686401367,3.32063894012636,19.69224508875,0.0559611951662353,0
"4","sub-01_ses-Y2CMH_task-rest_run-1_bold","CMH","CM","GE","sub-01","ses-Y2",91.5021591186523,4.50309133457026,14.5270996090431,0.0676162430269733,0
"5","sub-01_ses-Y2MRC_task-rest_run-1_bold","MRC","MR","GE","sub-01","ses-Y2",73.7920608520508,2.26607274062591,26.3158751031753,0.169714949053457,0
"6","sub-01_ses-Y2ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-01","ses-Y2",70.9263305664062,2.94745766949345,24.0294744146154,0.0851289784557402,0
"7","sub-02_ses-Y3CMH_task-rest_run-1_bold","CMH","CM","GE","sub-02","ses-Y3",87.4432220458984,4.50196166069516,16.2869939849761,0.0555823841929334,0
"8","sub-02_ses-Y3MRP_task-rest_run-1_bold","MRP","MR","prisma","sub-02","ses-Y3",71.00830078125,1.5917423208011,26.6228957695261,0.0766685985859474,0
"9","sub-02_ses-Y3ZHP_task-rest_run-1_bold","ZHP","ZH","prisma","sub-02","ses-Y3",77.8516387939453,1.60842419926261,25.836783205545,0.0567449138022716,0
"10","sub-02_ses-Y4CMP_task-rest_run-1_bold","CMP","CM","prisma","sub-02","ses-Y4",57.5122756958008,1.60878545160799,31.854583478199,0.126912894849179,0
"11","sub-03_ses-Y1CMH_task-rest_run-1_bold","CMH","CM","GE","sub-03","ses-Y1",89.9054412841797,4.81251984569446,18.3440460036842,0.161402602320463,1.9047619047619
"12","sub-03_ses-Y1MRC_task-rest_run-1_bold","MRC","MR","GE","sub-03","ses-Y1",42.7613410949707,2.13906522794783,36.8297331658294,0.180112446146496,2.83018867924528
"13","sub-03_ses-Y1ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-03","ses-Y1",62.7102813720703,3.37039630011224,24.8033453925359,0.145878527189602,0.476190476190476
"14","sub-03_ses-Y2CMH_task-rest_run-1_bold","CMH","CM","GE","sub-03","ses-Y2",86.3682556152344,4.60159583685669,14.7945429288995,0.111191008372169,0.476190476190476
"15","sub-03_ses-Y2MRC_task-rest_run-1_bold","MRC","MR","GE","sub-03","ses-Y2",73.3817291259766,1.80523373307961,25.4251700666351,0.13735977692905,0.943396226415094
"16","sub-03_ses-Y2ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-03","ses-Y2",80.0496597290039,3.37029725307522,19.6862429745673,0.139047449467565,0.956937799043062
"17","sub-03_ses-Y3CMH_task-rest_run-1_bold","CMH","CM","GE","sub-03","ses-Y3",96.1355438232422,4.61272278207787,15.3305679121531,0.104975366511391,0.476190476190476
"18","sub-03_ses-Y3MRP_task-rest_run-1_bold","MRP","MR","prisma","sub-03","ses-Y3",72.5433654785156,2.04228836195465,26.3746029236967,0.184119756735781,0.471698113207547
"19","sub-03_ses-Y3ZHP_task-rest_run-1_bold","ZHP","ZH","prisma","sub-03","ses-Y3",69.2216262817383,2.10435096392698,27.8257367646446,0.165164982524392,2.35849056603774
"20","sub-03_ses-Y4CMP_task-rest_run-1_bold","CMP","CM","prisma","sub-03","ses-Y4",69.9142761230469,1.85595786426655,25.2168036093839,0.187576816819125,0
"21","sub-03_ses-Y4CMP_task-rest_run-2_bold","CMP","CM","prisma","sub-03","ses-Y4",53.8948249816895,1.86683124143894,29.5406753960287,0.192681797657359,0.476190476190476
"22","sub-04_ses-Y1CMH_task-rest_run-1_bold","CMH","CM","GE","sub-04","ses-Y1",66.9979019165039,4.39069068677812,14.4452762650476,0.208782638606281,3.3175355450237
"23","sub-04_ses-Y1MRC_task-rest_run-1_bold","MRC","MR","GE","sub-04","ses-Y1",39.0384635925293,1.94301244476283,38.7315043227014,0.216458472586013,0.471698113207547
"24","sub-04_ses-Y1ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-04","ses-Y1",74.0201644897461,3.12453058916189,21.073293777512,0.173144134470668,0
"25","sub-04_ses-Y2CMH_task-rest_run-1_bold","CMH","CM","GE","sub-04","ses-Y2",96.9615325927734,4.42596672206528,13.5445562464904,0.186482558141517,0
"26","sub-04_ses-Y2ZHH_task-rest_run-1_bold","ZHH","ZH","GE","sub-04","ses-Y2",74.9796142578125,2.82462367761324,22.7541268011538,0.209338788815242,0.478468899521531
"27","sub-04_ses-Y3CMH_task-rest_run-1_bold","CMH","CM","GE","sub-04","ses-Y3",74.6389617919922,4.49273028767895,15.1652671191346,0.182077733791284,0.956937799043062
"28","sub-04_ses-Y3MRP_task-rest_run-1_bold","MRP","MR","prisma","sub-04","ses-Y3",77.7830963134766,1.84327823666795,19.439501938436,0.149301569999591,0
"29","sub-04_ses-Y3ZHP_task-rest_run-1_bold","ZHP","ZH","prisma","sub-04","ses-Y3",66.1831893920898,1.91587238787512,18.6939520406161,0.176205055270585,0.471698113207547
"30","sub-04_ses-Y4CMP_task-rest_run-1_bold","CMP","CM","prisma","sub-04","ses-Y4",68.3012466430664,1.82351478820363,21.9875097819905,0.252609725300591,3.30188679245283
